"Regione";"Provincia";"Comune"
"CALABRIA";"COSENZA";"BUONVICINO"
"CALABRIA";"COSENZA";"MAIERA'"
"CALABRIA";"COSENZA";"MENDICINO"
"CALABRIA";"COSENZA";"PAOLA"
"CALABRIA";"REGGIO DI CALABRIA";"BIVONGI"
"CALABRIA";"REGGIO DI CALABRIA";"GIFFONE"
"CALABRIA";"REGGIO DI CALABRIA";"ROCCELLA IONICA"
"CALABRIA";"VIBO VALENTIA";"TROPEA"
"CAMPANIA";"CASERTA";"VILLA LITERNO"
"CAMPANIA";"NAPOLI";"BOSCOTRECASE"
"LAZIO";"RIETI";"TARANO"
"LAZIO";"ROMA";"SARACINESCO"
"LAZIO";"ROMA";"TOLFA"
"SICILIA";"CATANIA";"GRAMMICHELE"
"SICILIA";"MESSINA";"SAN TEODORO"
"SICILIA";"PALERMO";"VICARI"
"TRENTINO ALTO ADIGE";"BOLZANO/BOZEN";"TESIMO"
